Date|Time|Description|row_id|key_entities_ticker|key_entities_company|key_entities_person|key_entities_sector|key_entities_country|key_entities_event|key_entities_economic|key_entities_policy|key_entities_central_bank|key_entities_commodity|key_entities_crypto|key_entities_index|key_entities_geopolitical|key_entities_source|key_entities_rating|key_entities_metric|new_summary|sentiment_score|reasoning|api_error
2025-12-29|04:28:07|INTEL - SELLS 214.8 MLN SHARES TO NVIDIA FOR $5.0 BLN - SEC FILING|0|INTC,NVDA|INTEL,NVIDIA||||SELLS 214.8 MLN SHARES,SEC FILING||||||||||$5.0 BLN|Intel has sold 214.8 million shares to NVIDIA for $5.0 billion, as reported in a recent SEC filing.|4.0|The transaction suggests a strong financial maneuver by Intel, which positively impacts its relations with NVIDIA, reflecting bullish sentiment.|
2025-12-29|04:52:07|CITI SEES FY 2026 S&P 500 BASE CASE OF 7700|1||CITI||||||||||S&P 500||||FY 2026,base case,7700|CITI projects a base case for the S&P 500 index to reach 7700 by FY 2026.|4.0|The projection indicates a positive outlook for the S&P 500, suggesting confidence in market growth over the next few years.|
2025-12-29|05:31:09|$NVDA** - BERNSTEIN ON NVIDIA’S GROQ DEAL**  Bernstein analyst Stacy A. Rasgon reiterated an Outperform rating and $275 price target on NVIDIA.  NVIDIA reportedly agreed to a $20B deal with AI chip startup Groq  which was later described as a non-exclusive licensing agreement for Groq’s inference technology. Key Groq executives will join NVIDIA  while Groq remains independent under new CEO Simon Edwards and continues its cloud operations.  Bernstein sees the move as strategic  strengthening NVIDIA’s position in AI inference—a more competitive area than training—and reinforcing its market leadership as inference demand scales.|2|$NVDA|NVIDIA,Groq|Stacy A. Rasgon,Simon Edwards|Technology,AI||NVIDIA's Groq deal||||||||Bernstein|Outperform|$275 price target,$20B deal|Bernstein analyst Stacy A. Rasgon maintains an Outperform rating for NVIDIA, following its strategic $20B licensing agreement with AI startup Groq, which is expected to enhance NVIDIA’s position in the AI inference market.|4.0|The news highlights a strategic move that strengthens NVIDIA's market leadership and potential growth in a competitive sector, indicating a positive outlook.|
2025-12-29|06:07:07|$MSTR - STRATEGY ACQUIRES 1 229 BTC  RAISES $108.8M FROM ATM|3|MSTR|||||acquisition|||||BTC|||||$108.8M|MSTR has strategically acquired 1,229 BTC and raised $108.8 million through an ATM transaction.|4.0|The acquisition of BTC and significant fundraising indicate a positive market outlook for the company, reflecting bullish sentiment.|
2025-12-29|06:10:07|CHINA DEFENCE MINISTRY:  URGES RELEVANT COUNTRIES TO ABANDON ILLUSIONS OF USING TAIWAN TO CONTAIN CHINA|4|||||China||||||||Taiwan|China Defence Ministry|||The China Defence Ministry has called on countries to abandon the notion of using Taiwan as a means to counteract China, highlighting rising geopolitical tensions.|1.0|The tweet reflects a defensive stance by China, indicating concern over foreign involvement in Taiwan, which suggests a bearish sentiment regarding relations and regional stability.|
2025-12-29|06:29:07|PUTIN TELLS RUSSIAN GENERALS: IT'S NECESSARY TO CONTINUE OPERATION TO GAIN CONTROL OF THE CITY OF ZAPORIZHZHIA|5|||PUTIN||RUSSIA|OPERATION TO GAIN CONTROL OF ZAPORIZHZHIA|||||||ZAPORIZHZHIA||||Putin has instructed Russian generals to proceed with military operations to gain control of Zaporizhzhia, indicating continued geopolitical tensions in the region.|1.0|The tweet reflects a directive for military action, which suggests a bearish outlook on stability and security in the region, potentially impacting market sentiment negatively.|
2025-12-29|06:43:08|SPOT SILVER PLUNGES 7% INTRADAY|6||||||SPOT SILVER PLUNGES||||SILVER||||||7% INTRADAY|Spot silver has experienced a significant decline of 7% in intraday trading. This sharp drop highlights volatility in the silver market.|1.0|The 7% plunge in the price of silver is a negative indicator, suggesting bearish sentiment in the market.|
2025-12-29|07:08:07|$TSLA** - STIFEL ON TESLA FSD UPDATE**  Stifel noted that Tesla released FSD (Supervised) Version 14.2.2 on December 22  introducing UI  safety  and usability enhancements.  The update focuses on improving real-world driving behavior  system reliability  and customization  while adding features such as improved trip completion  dashcam playback  and camera visibility monitoring. Early driver feedback highlights smoother steering  more confident lane changes  better obstacle awareness  and improved performance in rain and heavy traffic.|7|$TSLA|Tesla||||FSD (Supervised) Version 14.2.2 release||||||||Stifel||UI enhancements,safety improvements,system reliability,customization,trip completion,dashcam playback,camera visibility monitoring,steering,lane changes,obstacle awareness,performance in rain and heavy traffic|Stifel reports that Tesla has released FSD Version 14.2.2, which brings significant UI and safety enhancements for improved real-world driving performance. Feedback from early drivers indicates notable improvements in vehicle handling and obstacle awareness.|4.0|The positive feedback regarding the enhancements in driving behavior and usability suggests strong confidence in Tesla's FSD update, reflecting a bullish sentiment.|
2025-12-29|07:20:07|SPOT GOLD  EXTENDS LOSSES  LAST DOWN OVER 3% AT $4 385.29/OZ|8||||||||||Gold||||||price|Gold prices have dropped over 3%, currently trading at $4,385.29 per ounce.|1.0|The significant drop in gold prices suggests bearish sentiment in the market, reflecting concerns among investors.|
2025-12-29|07:21:07|SPOT PALLADIUM  EXTENDS LOSSES  LAST DOWN 15% AT $1 608.25/OZ|9||||||||||Palladium||||||$1 608.25/OZ,15%|Palladium prices have sharply declined, dropping 15% to $1,608.25 per ounce.|1.0|The tweet indicates a significant loss in palladium prices, reflecting a bearish sentiment in the market.|
